Nome,Ruolo,Squadra,Prezzo,FVM,Pt_giornata,Valore_stagionale,Valore_per_credito
Bremer,D,Juventus,16,60,6.64,225.8,14.113
Mancini,D,Roma,15,49,4.27,145.2,9.68
Bastoni,D,Inter,14,43,5.23,177.8,12.7
Pavlovic,D,Milan,14,48,6.08,206.7,14.764
Rrahmani,D,Napoli,14,51,6.25,212.5,15.179
Kalulu,D,Juventus,13,46,4.96,168.6,12.969
N'Dicka,D,Roma,13,44,6.8,231.2,17.785
Solet,D,Udinese,13,46,5.8,197.2,15.169
Bisseck,D,Inter,12,37,7.14,242.8,20.233
Stones,D,Inter,12,30,6.67,226.8,18.9
Gila,D,Milan,12,31,6.86,233.2,19.433
Di Lorenzo,D,Napoli,12,40,8.58,291.7,24.308
Spence,D,Inter,12,40,6.11,207.7,17.308
Ostigard,D,Genoa,11,43,8.83,300.2,27.291
Scalvini,D,Atalanta,10,28,6.75,229.5,22.95
Ramon,D,Como,10,32,6.6,224.4,22.44
Dodò,D,Fiorentina,10,20,9.0,306.0,30.6
Hermoso,D,Roma,10,26,5.45,185.3,18.53
Vasquez,D,Genoa,9,32,3.94,134.0,14.889
Cambiaso,D,Juventus,9,25,6.97,237.0,26.333
Tiago Gabriel,D,Lecce,9,20,7.52,255.7,28.411
Chalobah T.,D,Como,9,30,6.63,225.4,25.044
Hien,D,Atalanta,8,11,4.76,161.8,20.225
Zappacosta,D,Atalanta,8,19,6.34,215.6,26.95
Lucumì,D,Juventus,8,18,5.82,197.9,24.738
Miranda J.,D,Bologna,8,24,6.79,230.9,28.863
Mina,D,Cagliari,8,20,4.87,165.6,20.7
Jimenez A.,D,Fiorentina,8,23,6.75,229.5,28.688
Norton-Cuffy,D,Genoa,8,21,5.05,171.7,21.462
Celik,D,Juventus,8,15,4.76,161.8,20.225
Doekhi,D,Lazio,8,16,7.32,248.9,31.113
Bartesaghi,D,Milan,8,22,4.08,138.7,17.337
Spinazzola,D,Napoli,8,25,6.46,219.6,27.45
Delprato,D,Parma,8,21,7.35,249.9,31.238
Valeri,D,Parma,8,24,4.68,159.1,19.887
Koulierakis,D,Roma,8,17,7.87,267.6,33.45
Vojvoda,D,Udinese,8,19,4.4,149.6,18.7
Kamara H.,D,Udinese,8,12,6.13,208.4,26.05
Couto,D,Como,8,26,5.62,191.1,23.887
Obert,D,Cagliari,7,15,5.64,191.8,27.4
Kaiki,D,Como,7,16,4.74,161.2,23.029
Dragusin,D,Fiorentina,7,27,5.23,177.8,25.4
Carlos Augusto,D,Inter,7,25,6.54,222.4,31.771
Romagnoli,D,Lazio,7,22,7.88,267.9,38.271
Gabbia,D,Milan,7,24,6.74,229.2,32.743
Tomori,D,Milan,7,8,8.17,277.8,39.686
